START_YEAR,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1972,0,0.149118674,0.346472567,0.689495148,0.968155165,1.219793278,1.590566142,2.095247101,2.740846107,3.290659928,3.773174616,4.125133546,4.49287423,4.938258573,5.406683795,5.624029666,6.122038063,6.76060255,7.721209204,8.886196569,9.762666491,10.40562796,10.67953823,11.16495056,11.82810297,12.31341096,12.64403074,13.04340023,13.86954023,14.4939734,14.78162017,15.26944584,15.5504318,16.09742924,16.64838296,17.27468326,17.85276825,18.73865231,19.19903371,19.47331707,19.90892963,20.09687166,20.35235948,20.78222356
1973,0,0,0.1717437,0.470252974,0.712751876,0.931735449,1.254393911,1.6935835,2.255404504,2.73387016,3.153769949,3.46005592,3.780075682,4.167663451,4.575302133,4.764443495,5.197826406,5.753525745,6.589476527,7.603285971,8.366018265,8.925543997,9.163909519,9.586330925,10.16342746,10.58575807,10.87347403,11.2210182,11.93995178,12.48335359,12.73367305,13.15819463,13.40271764,13.87873239,14.35819002,14.90321668,15.40628481,16.17720959,16.57784828,16.81653847,17.19562252,17.35917572,17.58150943,17.95559096
1974,0,0,0,0.254756457,0.461712042,0.648598963,0.923965037,1.298782148,1.77825646,2.186592905,2.544947542,2.806340858,3.079454988,3.410233612,3.758124266,3.919542981,4.289404506,4.763654411,5.477079012,6.342293346,6.993231169,7.470746629,7.674174667,8.034681326,8.527192222,8.887621392,9.133166523,9.429770779,10.04332951,10.50708435,10.72071422,11.08301323,11.29169625,11.69794102,12.10712405,12.57226557,13.00159848,13.65952801,14.00144466,14.20514979,14.52867109,14.66825213,14.85799815,15.17725016
1975,0,0,0,0,0.164936856,0.313879641,0.533337426,0.832054448,1.214179847,1.539610684,1.82520765,2.033529604,2.251192664,2.514812446,2.792069959,2.920715413,3.215482994,3.593444711,4.162020865,4.851568489,5.370344718,5.750908976,5.913034493,6.20034655,6.592861681,6.880111982,7.075803448,7.312187373,7.801173685,8.170771177,8.341027222,8.629767723,8.796081288,9.119845126,9.445950664,9.816653298,10.15881764,10.68316602,10.95566246,11.1180088,11.37584473,11.48708627,11.63830767,11.89274112
1976,0,0,0,0,0,0.127854814,0.316240806,0.572664166,0.900686579,1.180041495,1.425202393,1.604029213,1.790874585,2.017169925,2.255172107,2.365603375,2.618636472,2.943084716,3.431159371,4.023077826,4.468403447,4.795085753,4.93425683,5.180889989,5.517831111,5.764411258,5.932395871,6.135311525,6.555065016,6.872333278,7.018483728,7.266343085,7.409109249,7.687033186,7.966967275,8.28518421,8.578903424,9.029012273,9.262927468,9.402288108,9.623618502,9.719109975,9.848920787,10.06733043
1977,0,0,0,0,0,0,0.167030357,0.394385293,0.685222738,0.932909686,1.150278885,1.308833708,1.474498091,1.675140352,1.886162355,1.984075018,2.208424015,2.496092463,2.928838459,3.453656413,3.84849945,4.138148705,4.261543201,4.480217764,4.778962885,4.997590445,5.146532145,5.326445066,5.698614857,5.979917254,6.109499934,6.329261693,6.455843733,6.702261919,6.950462384,7.23260591,7.493028803,7.892112838,8.099511158,8.22307373,8.419313875,8.503980335,8.619075655,8.812726152
1978,0,0,0,0,0,0,0,0.194814929,0.44402648,0.656263416,0.84252181,0.978383591,1.120337382,1.292262868,1.473082502,1.556981487,1.7492207,1.995716815,2.36652636,2.816230132,3.154561552,3.402754971,3.508488721,3.695865649,3.951853095,4.139189748,4.266814277,4.420977294,4.739880559,4.980921758,5.091958013,5.280266533,5.388731612,5.599881377,5.812558334,6.054320277,6.277470336,6.619435763,6.797150353,6.903028122,7.071181542,7.143730177,7.242352565,7.408286978
1979,0,0,0,0,0,0,0,0,0.208577534,0.386209175,0.542098082,0.655807559,0.774615742,0.918508727,1.069845666,1.140064897,1.300959449,1.507264298,1.817613238,2.193992676,2.477159057,2.684884466,2.773378296,2.930203361,3.144451978,3.301243334,3.408058645,3.537085337,3.80399133,4.00573069,4.09866245,4.25626721,4.347047026,4.523768759,4.701768675,4.904111261,5.090876637,5.3770845,5.525822673,5.61443704,5.755172995,5.815892554,5.898434532,6.03731329
1980,0,0,0,0,0,0,0,0,0,0.146975793,0.275961234,0.370046615,0.468350762,0.587410549,0.712629606,0.770730331,0.903857539,1.074558089,1.331346694,1.642770188,1.877067429,2.048943376,2.122164852,2.251924888,2.429198262,2.558930407,2.647311424,2.754070558,2.974913645,3.141836622,3.218730125,3.349135296,3.424248239,3.570471157,3.717751668,3.885173765,4.039706984,4.276520804,4.399589592,4.472910803,4.589358404,4.63959892,4.70789572,4.822806641
1981,0,0,0,0,0,0,0,0,0,0,0.112456987,0.194486077,0.280193332,0.383996558,0.493169793,0.543825373,0.659893392,0.808720029,1.032603224,1.304120283,1.508394203,1.658245619,1.722084347,1.835216671,1.989773877,2.102881883,2.179937578,2.273016382,2.465560189,2.611093319,2.678133534,2.791828323,2.857316142,2.98480176,3.113209449,3.259177741,3.393908761,3.600376781,3.707675286,3.771600969,3.87312674,3.916929334,3.976474444,4.076660448
