"Date","Quarterly amounts outstanding of monetary financial institutions' sterling net secured lending (historical measure) to individuals (in sterling millions) not seasonally adjusted              [a] [b] [c] [d] [e] [f] [g] [h] [i] [i] [j] [k] [l] [m]             LPQB3TA"
"31 Dec 68","7363"
"30 Sep 68","7190"
"30 Jun 68","6977"
"31 Mar 68","6751"
"31 Dec 67","6483"
"30 Sep 67","6219"
"30 Jun 67","5969"
"31 Mar 67","5763"
"31 Dec 66","5615"
"30 Sep 66","5500"
"30 Jun 66","5330"
"31 Mar 66","5132"
"31 Dec 65","4973"
"30 Sep 65","4821"
"30 Jun 65","4736"
"31 Mar 65","4639"
"31 Dec 64","4529"
"30 Sep 64","4394"
"30 Jun 64","4235"
"31 Mar 64","4079"
"31 Dec 63","3953"
"30 Sep 63","3806"
"30 Jun 63","3661"
"31 Mar 63","3543"
"31 Dec 18","1247972"
"30 Sep 18","1234758"
"30 Jun 18","1223345"
"31 Mar 18","1214176"
"31 Dec 17","1206357"
"30 Sep 17","1196437"
"30 Jun 17","1178106"
"31 Mar 17","1166022"
"31 Dec 16","1157035"
"30 Sep 16","1148614"
"30 Jun 16","1136372"
"31 Mar 16","1122964"
"31 Dec 15","1111512"
"30 Sep 15","1097344"
"30 Jun 15","1085316"
"31 Mar 15","1078303"
"31 Dec 14","1075866"
"30 Sep 14","1069752"
"30 Jun 14","1061979"
"31 Mar 14","1055353"
"31 Dec 13","1049851"
"30 Sep 13","1041986"
"30 Jun 13","1037550"
"31 Mar 13","1035158"
"31 Dec 12","1035891"
"30 Sep 12","1033758"
"30 Jun 12","1029436"
"31 Mar 12","1019434"
"31 Dec 11","1015282"
"30 Sep 11","1013925"
"30 Jun 11","1009620"
"31 Mar 11","1007152"
"31 Dec 10","1006856"
"30 Sep 10","1004285"
"30 Jun 10","1027427"
"31 Mar 10","1024070"
"31 Dec 09","880310"
"30 Sep 09","866339"
"30 Jun 09","860228"
"31 Mar 09","764618"
"31 Dec 08","760156"
"30 Sep 08","797387"
"30 Jun 08","819826"
"31 Mar 08","817364"
"31 Dec 07","798951"
"30 Sep 07","790079"
"30 Jun 07","778475"
"31 Mar 07","774080"
"31 Dec 06","769010"
"30 Sep 06","756945"
"30 Jun 06","738498"
"31 Mar 06","722409"
"31 Dec 05","725656"
"30 Sep 05","711587"
"30 Jun 05","692913"
"31 Mar 05","684329"
"31 Dec 04","684465"
"30 Sep 04","669062"
"30 Jun 04","663683"
"31 Mar 04","647705"
"31 Dec 03","635507"
"30 Sep 03","617198"
"30 Jun 03","597042"
"31 Mar 03","581521"
"31 Dec 02","575257"
"30 Sep 02","559981"
"30 Jun 02","542795"
"31 Mar 02","528077"
"31 Dec 01","517952"
"30 Sep 01","508417"
"30 Jun 01","498400"
"31 Mar 01","488309"
"31 Dec 00","481972"
"30 Sep 00","470397"
"30 Jun 00","464762"
"31 Mar 00","455721"
"31 Dec 99","448946"
"30 Sep 99","441995"
"30 Jun 99","431590"
"31 Mar 99","423354"
"31 Dec 98","418837"
"30 Sep 98","412443"
"30 Jun 98","405576"
"31 Mar 98","399851"
"31 Dec 97","396103"
"30 Sep 97","391314"
"30 Jun 97","386723"
"31 Mar 97","381400"
"31 Dec 96","376690"
"30 Sep 96","371018"
"30 Jun 96","366277"
"31 Mar 96","361366"
"31 Dec 95","357990"
"30 Sep 95","354645"
"30 Jun 95","350636"
"31 Mar 95","346368"
"31 Dec 94","342804"
"30 Sep 94","338446"
"30 Jun 94","333339"
"31 Mar 94","328629"
"31 Dec 93","324557"
"30 Sep 93","320318"
"30 Jun 93","315108"
"31 Mar 93","310545"
"31 Dec 92","306305"
"30 Sep 92","303389"
"30 Jun 92","296099"
"31 Mar 92","290515"
"31 Dec 91","285660"
"30 Sep 91","279984"
"30 Jun 91","272649"
"31 Mar 91","265943"
"31 Dec 90","260334"
"30 Sep 90","253712"
"30 Jun 90","246270"
"31 Mar 90","238002"
"31 Dec 89","229845"
"30 Sep 89","221071"
"30 Jun 89","213150"
"31 Mar 89","204776"
"31 Dec 88","197875"
"30 Sep 88","191694"
"30 Jun 88","181165"
"31 Mar 88","171895"
"31 Dec 87","164843"
"30 Sep 87","157946"
"30 Jun 87","151002"
"31 Mar 87","144910"
"31 Dec 86","141577"
"30 Sep 86","135782"
"30 Jun 86","128363"
"31 Mar 86","122287"
"31 Dec 85","117909"
"30 Sep 85","112649"
"30 Jun 85","107484"
"31 Mar 85","103056"
"31 Dec 84","99467"
"30 Sep 84","95420"
"30 Jun 84","90853"
"31 Mar 84","86335"
"31 Dec 83","82894"
"30 Sep 83","79507"
"30 Jun 83","75320"
"31 Mar 83","71530"
"31 Dec 82","67896"
"30 Sep 82","64006"
"30 Jun 82","60363"
"31 Mar 82","57058"
"31 Dec 81","54685"
"30 Sep 81","51969"
"30 Jun 81","49655"
"31 Mar 81","47411"
"31 Dec 80","45569"
"30 Sep 80","43741"
"30 Jun 80","42081"
"31 Mar 80","40625"
"31 Dec 79","39354"
"30 Sep 79","37936"
"30 Jun 79","36294"
"31 Mar 79","34792"
"31 Dec 78","33498"
"30 Sep 78","32193"
"30 Jun 78","30823"
"31 Mar 78","29399"
"31 Dec 77","28113"
"30 Sep 77","26828"
"30 Jun 77","25598"
"31 Mar 77","24654"
"31 Dec 76","23893"
"30 Sep 76","23039"
"30 Jun 76","22011"
"31 Mar 76","21017"
"31 Dec 75","20195"
"30 Sep 75","19372"
"30 Jun 75","18584"
"31 Mar 75","17941"
"31 Dec 74","17412"
"30 Sep 74","16872"
