Year,DR,PR
1989,0.0050,0.0001
1990,0.0178,0.0005
1991,0.0447,0.0015
1992,0.0437,0.0025
1993,0.0278,0.0022
1994,0.0167,0.0014
1995,0.0117,0.0009
1996,0.0110,0.0007
1997,0.0078,0.0006
1998,0.0043,0.0004
1999,0.0083,0.0003
2000,0.0082,0.0005
2001,0.0048,0.0004
2002,0.0035,0.0003
2003,0.0035,0.0002
2004,0.0035,0.0002
2005,0.0041,0.0002
2006,0.0043,0.0002
2007,0.0062,0.0003
2008,0.0148,0.0005
2009,0.0315,0.0011
2010,0.0250,0.0017
2011,0.0154,0.0013
2012,0.0184,0.0009
2013,0.0181,0.0010
2014,0.0150,0.0010
2015,0.0141,0.0008
