"Date","End month level of 4 UK Banks' base rates              [a] [b]             IUMAMIH","End month official Bank Rate              [c] [d]             IUMBEDR","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling revert-to-rate mortgage to households (in percent) not seasonally adjusted              [e] [f] [g]             IUMTLMV"
"31 Mar 19","n/a","0.75","4.27"
"28 Feb 19","n/a","0.75","4.27"
"31 Jan 19","n/a","0.75","4.48"
"31 Dec 18","n/a","0.75","4.4"
"30 Nov 18","n/a","0.75","4.41"
"31 Oct 18","n/a","0.75","4.45"
"30 Sep 18","n/a","0.75","4.39"
"31 Aug 18","n/a","0.75","4.35"
"31 Jul 18","n/a","0.5","4.1"
"30 Jun 18","n/a","0.5","4.06"
"31 May 18","n/a","0.5","4.16"
"30 Apr 18","n/a","0.5","4.17"
"31 Mar 18","n/a","0.5","4.14"
"28 Feb 18","n/a","0.5","4.23"
"31 Jan 18","n/a","0.5","4.21"
"31 Dec 17","n/a","0.5","4.54"
"30 Nov 17","n/a","0.5","4.34"
"31 Oct 17","n/a","0.25","4.31"
"30 Sep 17","n/a","0.25","4.31"
"31 Aug 17","n/a","0.25","4.32"
"31 Jul 17","n/a","0.25","4.51"
"30 Jun 17","n/a","0.25","4.28"
"31 May 17","n/a","0.25","4.23"
"30 Apr 17","n/a","0.25","4.54"
"31 Mar 17","n/a","0.25","4.28"
"28 Feb 17","n/a","0.25","4.37"
"31 Jan 17","n/a","0.25","4.49"
"31 Dec 16","n/a","0.25","4.23"
"30 Nov 16","n/a","0.25","4.28"
"31 Oct 16","n/a","0.25","4.24"
"30 Sep 16","n/a","0.25","4.24"
"31 Aug 16","n/a","0.25","4.3"
"31 Jul 16","n/a","0.5","4.55"
"30 Jun 16","n/a","0.5","4.52"
"31 May 16","n/a","0.5","4.56"
"30 Apr 16","n/a","0.5","4.64"
"31 Mar 16","n/a","0.5","4.57"
"29 Feb 16","n/a","0.5","4.58"
"31 Jan 16","n/a","0.5","4.56"
"31 Dec 15","n/a","0.5","4.49"
"30 Nov 15","n/a","0.5","4.49"
"31 Oct 15","n/a","0.5","4.54"
"30 Sep 15","n/a","0.5","4.5"
"31 Aug 15","n/a","0.5","4.48"
"31 Jul 15","0.5","0.5","4.5"
"30 Jun 15","0.5","0.5","4.49"
